Departemen Biologi 36 (Decimal('2020'), 58, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0184, 0.1575, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 37 (Decimal('2020'), 65, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0257, 0.42, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 38 (Decimal('2020'), 75, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0257, 1.0, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 39 (Decimal('2020'), 76, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0257, 1.0, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Biologi 40 (Decimal('2020'), 77, '99F05421-F893-4226-A415-3A8E17EADE38', 0.0221, 1.0, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 1 (Decimal('2020'), 1, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0359, 0.0903, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 2 (Decimal('2020'), 4, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0359, 0.84, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 3 (Decimal('2020'), 6, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0359, 0.2625, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 4 (Decimal('2020'), 7, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0359, 1.4511, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 5 (Decimal('2020'), 10, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0359, 2.625, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 6 (Decimal('2020'), 11, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0319, 1.75, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 7 (Decimal('2020'), 12, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0319, 0.0105, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 8 (Decimal('2020'), 13, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0279, 0.271, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 9 (Decimal('2020'), 14, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0279, 0.3675, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 10 (Decimal('2020'), 18, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0279, 2.625, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 11 (Decimal('2020'), 19, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0279, 0.4975, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 12 (Decimal('2020'), 21, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0239, 0.0253, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 13 (Decimal('2020'), 22, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0199, 0.7035, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
Departemen Desain Interior 14 (Decimal('2020'), 24, '747B77BD-9098-447A-9AF6-E2994BE53645', 0.0199, 1.1505, datetime.datetime(2020, 5, 18, 18, 14, 23, 526383))
